Asset,Material,Environment,Age,Length,Width,Risk
Main Gate,Iron,Coastal,3,200,150,High
Water Tank,Steel,Rainy,5,300,250,Medium
Lab Bench,Aluminium,Indoor,2,120,80,Low
Steel Pipe,Steel,Industrial,6,500,50,High
Iron Railing,Iron,Rainy,4,150,100,High
Aluminium Window,Aluminium,Coastal,3,100,80,Medium
Steel Beam,Steel,Indoor,8,400,200,Low
Iron Gate,Iron,Industrial,5,250,180,High
Copper Pipe,Copper,Coastal,2,300,25,Low
Steel Tank,Steel,Rainy,7,350,300,Medium
Aluminium Door,Aluminium,Indoor,1,90,210,Low
Iron Column,Iron,Coastal,6,280,280,High
Steel Frame,Steel,Industrial,4,450,150,High
Aluminium Sheet,Aluminium,Rainy,3,200,100,Low
Iron Grate,Iron,Indoor,9,180,180,Low
Steel Pipeline,Steel,Coastal,5,600,40,High
Copper Wire,Copper,Industrial,4,1000,5,Medium
Aluminium Roof,Aluminium,Rainy,6,500,300,Low
Iron Fence,Iron,Coastal,7,300,120,High
Steel Bridge,Steel,Industrial,8,1000,500,High
Iron Window,Iron,Rainy,3,80,60,Medium
Steel Door,Steel,Indoor,2,90,210,Low
Aluminium Frame,Aluminium,Coastal,4,150,100,Medium
Copper Tube,Copper,Rainy,3,200,20,Low
Iron Pipe,Iron,Industrial,5,400,30,High
Steel Railing,Steel,Coastal,6,200,80,High
Aluminium Panel,Aluminium,Indoor,2,250,150,Low
Iron Beam,Iron,Rainy,8,350,200,Medium
Steel Column,Steel,Industrial,7,300,300,High
Copper Coil,Copper,Coastal,3,150,15,Low
Iron Tank,Iron,Rainy,6,400,350,Medium
Steel Grate,Steel,Indoor,4,200,180,Low
Aluminium Pipe,Aluminium,Industrial,5,300,25,Medium
Iron Door,Iron,Coastal,4,90,210,High
Steel Window,Steel,Rainy,3,100,80,Medium
Copper Sheet,Copper,Indoor,2,150,100,Low
Iron Frame,Iron,Industrial,6,200,150,High
Steel Tank,Steel,Coastal,7,500,400,High
Aluminium Railing,Aluminium,Rainy,3,180,80,Low
Iron Pipeline,Iron,Indoor,10,800,50,Low
Steel Door,Steel,Industrial,5,90,210,High
Copper Wire,Copper,Rainy,4,500,3,Medium
Iron Sheet,Iron,Coastal,5,300,200,High
Steel Frame,Steel,Indoor,6,400,300,Low
Aluminium Window,Aluminium,Industrial,4,100,80,Medium
Iron Grate,Iron,Rainy,7,200,180,Medium
Steel Pipeline,Steel,Coastal,6,700,50,High
Copper Tube,Copper,Indoor,3,250,15,Low
Iron Column,Iron,Industrial,8,300,300,High
Steel Railing,Steel,Rainy,5,150,80,Medium
Aluminium Panel,Aluminium,Coastal,4,300,200,Medium
Iron Gate,Iron,Indoor,9,250,180,Low
Steel Beam,Steel,Industrial,6,500,250,High
Copper Pipe,Copper,Rainy,3,350,20,Low
Iron Tank,Iron,Coastal,7,400,350,High
Steel Window,Steel,Indoor,4,120,100,Low
Aluminium Frame,Aluminium,Industrial,5,180,120,Medium
Iron Pipeline,Iron,Rainy,8,600,40,Medium
Steel Column,Steel,Coastal,6,350,350,High
Copper Coil,Copper,Indoor,3,200,15,Low
Iron Railing,Iron,Industrial,7,250,100,High
Steel Tank,Steel,Rainy,8,450,400,Medium
Aluminium Door,Aluminium,Coastal,3,90,210,Medium
Iron Beam,Iron,Indoor,10,400,250,Low
Steel Grate,Steel,Industrial,5,250,200,High
Copper Sheet,Copper,Rainy,4,180,120,Low
Iron Fence,Iron,Coastal,8,350,150,High
Steel Pipeline,Steel,Indoor,7,800,60,Low
Aluminium Pipe,Aluminium,Industrial,6,350,25,Medium
Iron Door,Iron,Rainy,5,90,210,Medium
Steel Frame,Steel,Coastal,7,500,350,High
Copper Wire,Copper,Indoor,4,600,4,Low
Iron Column,Iron,Industrial,9,300,300,High
Steel Railing,Steel,Rainy,6,200,80,Medium
Aluminium Window,Aluminium,Coastal,5,120,100,Medium
Iron Tank,Iron,Indoor,11,500,450,Low
Steel Beam,Steel,Industrial,7,600,300,High
Copper Tube,Copper,Rainy,4,300,18,Low
Iron Grate,Iron,Coastal,8,250,200,High
Steel Door,Steel,Indoor,6,90,210,Low
Aluminium Panel,Aluminium,Industrial,5,350,250,Medium
Iron Pipeline,Iron,Rainy,9,700,45,Medium
Steel Column,Steel,Coastal,7,400,400,High
Copper Coil,Copper,Indoor,4,250,18,Low
Iron Railing,Iron,Industrial,8,300,120,High
Steel Tank,Steel,Rainy,9,500,450,Medium
Aluminium Frame,Aluminium,Coastal,5,200,150,Medium
Iron Beam,Iron,Indoor,11,450,280,Low
Steel Grate,Steel,Industrial,6,300,250,High
Copper Sheet,Copper,Rainy,5,200,150,Low
Iron Fence,Iron,Coastal,9,400,180,High
Steel Pipeline,Steel,Indoor,8,900,70,Low
Aluminium Door,Aluminium,Industrial,5,90,210,Medium
Iron Column,Iron,Rainy,10,300,300,Medium
Steel Railing,Steel,Coastal,7,250,100,High
Copper Pipe,Copper,Indoor,4,400,25,Low
Iron Gate,Iron,Industrial,8,250,180,High
Steel Window,Steel,Rainy,5,120,100,Medium
Aluminium Sheet,Aluminium,Coastal,4,250,150,Medium
Iron Pipeline,Iron,Indoor,12,800,60,Low
Steel Beam,Steel,Industrial,8,700,350,High
Copper Wire,Copper,Rainy,5,700,5,Medium
